,poemId,poemFullTitle,poemFullUrl,audioTitle,audioArtist,recitationId,gender
34,4144,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۱۵۲۰,/moulavi/shams/ghazalsh/sh1520,غزل شمارهٔ ۱۵۲۰,افسر آریا,27921,F
35,4349,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۱۷۲۵,/moulavi/shams/ghazalsh/sh1725,غزل شمارهٔ ۱۷۲۵,افسر آریا,26294,F
36,4410,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۱۷۸۶,/moulavi/shams/ghazalsh/sh1786,غزل شمارهٔ ۱۷۸۶,افسر آریا,23793,F
37,4449,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۱۸۲۵,/moulavi/shams/ghazalsh/sh1825,غزل شمارهٔ ۱۸۲۵,افسر آریا,25724,F
38,4451,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۱۸۲۷,/moulavi/shams/ghazalsh/sh1827,غزل شمارهٔ ۱۸۲۷,افسر آریا,27410,F
39,4899,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۲۲۷۵,/moulavi/shams/ghazalsh/sh2275,غزل شمارهٔ ۲۲۷۵,افسر آریا,28793,F
40,5079,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۲۴۵۵,/moulavi/shams/ghazalsh/sh2455,غزل شمارهٔ ۲۴۵۵,افسر آریا,25465,F
41,5196,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۲۵۷۲,/moulavi/shams/ghazalsh/sh2572,غزل شمارهٔ ۲۵۷۲,افسر آریا,26821,F
42,7893,مولانا » مثنوی معنوی » دفتر اول » بخش ۱ - سرآغاز,/moulavi/masnavi/daftar1/sh1,بخش ۱ - سرآغاز,افسر آریا,28242,F
43,7894,مولانا » مثنوی معنوی » دفتر اول » بخش ۲ - عاشق شدن پادشاه بر کنیزک رنجور و تدبیر کردن در صحت او,/moulavi/masnavi/daftar1/sh2,بخش ۲ - عاشق شدن پادشاه بر کنیزک رنجور و تدبیر کردن در صحت او,افسر آریا,26195,F
44,7939,مولانا » مثنوی معنوی » دفتر اول » بخش ۴۷ - ترجیح نهادن شیر جهد را بر توکل,/moulavi/masnavi/daftar1/sh47,بخش ۴۷ - ترجیح نهادن شیر جهد را بر توکل,افسر آریا,26833,F
45,7933,مولانا » مثنوی معنوی » دفتر اول » بخش ۴۱ - طنز و انکار کردن پادشاه جهود و قبول ناکردن نصیحت خاصان خویش,/moulavi/masnavi/daftar1/sh41,بخش ۴۱ - طنز و انکار کردن پادشاه جهود و قبول ناکردن نصیحت خاصان خویش,افسر آریا,25752,F
46,7942,مولانا » مثنوی معنوی » دفتر اول » بخش ۵۰ - باز ترجیح نهادن شیر جهد را بر توکل و فواید جهد را بیان کردن,/moulavi/masnavi/daftar1/sh50,بخش ۵۰ - باز ترجیح نهادن شیر جهد را بر توکل و فواید جهد را بیان کردن,افسر آریا,26832,F
47,7938,مولانا » مثنوی معنوی » دفتر اول » بخش ۴۶ - ترجیح نهادن نخچیران توکل را بر اجتهاد,/moulavi/masnavi/daftar1/sh46,بخش ۴۶ - ترجیح نهادن نخچیران توکل را بر اجتهاد,افسر آریا,25947,F
48,8933,نظامی » خمسه » خسرو و شیرین » بخش ۶۹ - پاسخ دادن شیرین خسرو را,/nezami/5ganj/khosro-shirin/sh69,بخش ۶۹ - پاسخ دادن شیرین خسرو را,افسر آریا,28795,F
49,9325,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳,/saadi/divan/ghazals/sh3,غزل شمارهٔ  ۳,افسر آریا,23228,F
50,9323,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱,/saadi/divan/ghazals/sh1,غزل شمارهٔ  ۱,افسر آریا,23226,F
51,9332,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰,/saadi/divan/ghazals/sh10,غزل شمارهٔ  ۱۰,افسر آریا,23297,F
52,9333,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۱,/saadi/divan/ghazals/sh11,غزل شمارهٔ  ۱۱,افسر آریا,23533,F
53,9324,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲,/saadi/divan/ghazals/sh2,غزل شمارهٔ  ۲,افسر آریا,23227,F
54,9334,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۲,/saadi/divan/ghazals/sh12,غزل شمارهٔ  ۱۲,افسر آریا,23741,F
55,9336,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۴,/saadi/divan/ghazals/sh14,غزل شمارهٔ  ۱۴,افسر آریا,23771,F
56,9340,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۸,/saadi/divan/ghazals/sh18,غزل شمارهٔ  ۱۸,افسر آریا,23791,F
57,9344,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۲,/saadi/divan/ghazals/sh22,غزل شمارهٔ  ۲۲,افسر آریا,24003,F
58,9343,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۱,/saadi/divan/ghazals/sh21,غزل شمارهٔ  ۲۱,افسر آریا,24002,F
59,9345,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۳,/saadi/divan/ghazals/sh23,غزل شمارهٔ  ۲۳,افسر آریا,24004,F
60,9347,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۵,/saadi/divan/ghazals/sh25,غزل شمارهٔ  ۲۵,افسر آریا,25670,F
61,9342,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۰,/saadi/divan/ghazals/sh20,غزل شمارهٔ  ۲۰,افسر آریا,23805,F
62,9341,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۹,/saadi/divan/ghazals/sh19,غزل شمارهٔ  ۱۹,افسر آریا,23792,F
63,9338,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۶,/saadi/divan/ghazals/sh16,غزل شمارهٔ  ۱۶,افسر آریا,23782,F
64,9348,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶,/saadi/divan/ghazals/sh26,غزل شمارهٔ  ۲۶,افسر آریا,25669,F
65,9339,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۷,/saadi/divan/ghazals/sh17,غزل شمارهٔ  ۱۷,افسر آریا,23781,F
66,9351,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۹,/saadi/divan/ghazals/sh29,غزل شمارهٔ  ۲۹,افسر آریا,25794,F
67,9349,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۷,/saadi/divan/ghazals/sh27,غزل شمارهٔ  ۲۷,افسر آریا,25793,F
68,9352,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۰,/saadi/divan/ghazals/sh30,غزل شمارهٔ  ۳۰,افسر آریا,25795,F
69,9350,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۸,/saadi/divan/ghazals/sh28,غزل شمارهٔ  ۲۸,افسر آریا,25671,F
70,9426,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰۴,/saadi/divan/ghazals/sh104,غزل شمارهٔ  ۱۰۴,افسر آریا,25310,F
71,9422,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰۰,/saadi/divan/ghazals/sh100,غزل شمارهٔ  ۱۰۰,افسر آریا,25243,F
72,9425,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰۳,/saadi/divan/ghazals/sh103,غزل شمارهٔ  ۱۰۳,افسر آریا,25307,F
73,9429,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰۷,/saadi/divan/ghazals/sh107,غزل شمارهٔ  ۱۰۷,افسر آریا,25361,F
74,9431,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰۹,/saadi/divan/ghazals/sh109,غزل شمارهٔ  ۱۰۹,افسر آریا,25363,F
75,9428,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰۶,/saadi/divan/ghazals/sh106,غزل شمارهٔ  ۱۰۶,افسر آریا,25360,F
76,9423,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰۱,/saadi/divan/ghazals/sh101,غزل شمارهٔ  ۱۰۱,افسر آریا,25244,F
77,9432,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۱۰,/saadi/divan/ghazals/sh110,غزل شمارهٔ  ۱۱۰,افسر آریا,25364,F
78,9427,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰۵,/saadi/divan/ghazals/sh105,غزل شمارهٔ  ۱۰۵,افسر آریا,25311,F
79,9430,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۰۸,/saadi/divan/ghazals/sh108,غزل شمارهٔ  ۱۰۸,افسر آریا,25362,F
80,9451,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۲۹,/saadi/divan/ghazals/sh129,غزل شمارهٔ  ۱۲۹,افسر آریا,25725,F
81,9449,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۲۷,/saadi/divan/ghazals/sh127,غزل شمارهٔ  ۱۲۷,افسر آریا,28180,F
82,9488,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۶۶,/saadi/divan/ghazals/sh166,غزل شمارهٔ  ۱۶۶,افسر آریا,25796,F
83,9520,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۱۹۸,/saadi/divan/ghazals/sh198,غزل شمارهٔ  ۱۹۸,افسر آریا,26828,F
84,9565,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۴۳,/saadi/divan/ghazals/sh243,غزل شمارهٔ  ۲۴۳,افسر آریا,27919,F
85,9581,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۵۹,/saadi/divan/ghazals/sh259,غزل شمارهٔ  ۲۵۹,افسر آریا,25306,F
86,9580,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۵۸,/saadi/divan/ghazals/sh258,غزل شمارهٔ  ۲۵۸,افسر آریا,23194,F
87,9585,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶۳,/saadi/divan/ghazals/sh263,غزل شمارهٔ  ۲۶۳,افسر آریا,23172,F
88,9591,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶۹,/saadi/divan/ghazals/sh269,غزل شمارهٔ  ۲۶۹,افسر آریا,23257,F
89,9582,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۶۰,/saadi/divan/ghazals/sh260,غزل شمارهٔ  ۲۶۰,افسر آریا,23195,F
