poemId,poemFullTitle,poemFullUrl,audioTitle,audioArtist,recitationId
3151,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۲۷,/moulavi/shams/ghazalsh/sh527,غزل شمارهٔ ۵۲۷,محسن لیله‌کوهی,5417
3151,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۲۷,/moulavi/shams/ghazalsh/sh527,غزل شمارهٔ ۵۲۷,عندلیب,13359
3151,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۲۷,/moulavi/shams/ghazalsh/sh527,غزل شمارهٔ ۵۲۷,نازنین بازیان,28523
1422,فردوسی » شاهنامه » پادشاهی گرشاسپ » بخش ۳,/ferdousi/shahname/garshasp/sh3,بخش ۳,عندلیب,22339
1422,فردوسی » شاهنامه » پادشاهی گرشاسپ » بخش ۳,/ferdousi/shahname/garshasp/sh3,بخش ۳,فرهاد بشیریان,26384
1201,خیام » رباعیات » رباعی شمارهٔ ۸۳,/khayyam/robaee/sh83,رباعی شمارهٔ ۸۳,داوود ملک زاده,1530
1201,خیام » رباعیات » رباعی شمارهٔ ۸۳,/khayyam/robaee/sh83,رباعی شمارهٔ ۸۳,زهرا بهمنی,16076
1201,خیام » رباعیات » رباعی شمارهٔ ۸۳,/khayyam/robaee/sh83,رباعی شمارهٔ ۸۳,نازنین بازیان,21181
1201,خیام » رباعیات » رباعی شمارهٔ ۸۳,/khayyam/robaee/sh83,رباعی شمارهٔ ۸۳,علی قلندری,24068
1201,خیام » رباعیات » رباعی شمارهٔ ۸۳,/khayyam/robaee/sh83,رباعی شمارهٔ ۸۳,فاطمه زندی,25473
1342,فردوسی » شاهنامه » جمشید » بخش ۱,/ferdousi/shahname/jamshid/sh1,بخش ۱,فرید حامد,4755
1342,فردوسی » شاهنامه » جمشید » بخش ۱,/ferdousi/shahname/jamshid/sh1,بخش ۱,فرشید ربانی,15590
1342,فردوسی » شاهنامه » جمشید » بخش ۱,/ferdousi/shahname/jamshid/sh1,بخش ۱,محمدیزدانی جوینده,22022
1274,خیام » رباعیات » رباعی شمارهٔ ۱۵۶,/khayyam/robaee/sh156,رباعی شمارهٔ ۱۵۶,زهرا بهمنی,14887
1274,خیام » رباعیات » رباعی شمارهٔ ۱۵۶,/khayyam/robaee/sh156,رباعی شمارهٔ ۱۵۶,نازنین بازیان,21504
1274,خیام » رباعیات » رباعی شمارهٔ ۱۵۶,/khayyam/robaee/sh156,رباعی شمارهٔ ۱۵۶,علی پورزارع,23086
1274,خیام » رباعیات » رباعی شمارهٔ ۱۵۶,/khayyam/robaee/sh156,رباعی شمارهٔ ۱۵۶,علی قلندری,24142
3153,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۲۹,/moulavi/shams/ghazalsh/sh529,غزل شمارهٔ ۵۲۹,عندلیب,13361
1193,خیام » رباعیات » رباعی شمارهٔ ۷۵,/khayyam/robaee/sh75,رباعی شمارهٔ ۷۵,داوود ملک زاده,1605
1193,خیام » رباعیات » رباعی شمارهٔ ۷۵,/khayyam/robaee/sh75,رباعی شمارهٔ ۷۵,زهرا بهمنی,16068
1193,خیام » رباعیات » رباعی شمارهٔ ۷۵,/khayyam/robaee/sh75,رباعی شمارهٔ ۷۵,نازنین بازیان,21151
1193,خیام » رباعیات » رباعی شمارهٔ ۷۵,/khayyam/robaee/sh75,رباعی شمارهٔ ۷۵,علی قلندری,24061
2930,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۶,/moulavi/shams/ghazalsh/sh306,غزل شمارهٔ ۳۰۶,پری ساتکنی عندلیب,12034
1289,خیام » رباعیات » رباعی شمارهٔ ۱۷۱,/khayyam/robaee/sh171,رباعی شمارهٔ ۱۷۱,داوود ملک زاده,1684
1289,خیام » رباعیات » رباعی شمارهٔ ۱۷۱,/khayyam/robaee/sh171,رباعی شمارهٔ ۱۷۱,زهرا بهمنی,16157
1289,خیام » رباعیات » رباعی شمارهٔ ۱۷۱,/khayyam/robaee/sh171,رباعی شمارهٔ ۱۷۱,نازنین بازیان,21540
1289,خیام » رباعیات » رباعی شمارهٔ ۱۷۱,/khayyam/robaee/sh171,رباعی شمارهٔ ۱۷۱,علی قلندری,24157
2915,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۲۹۱,/moulavi/shams/ghazalsh/sh291,غزل شمارهٔ ۲۹۱,پری ساتکنی عندلیب,11965
1352,فردوسی » شاهنامه » ضحاک » بخش ۷,/ferdousi/shahname/zahak/sh7,بخش ۷,فرید حامد,4780
1352,فردوسی » شاهنامه » ضحاک » بخش ۷,/ferdousi/shahname/zahak/sh7,بخش ۷,فرشید ربانی,15606
1352,فردوسی » شاهنامه » ضحاک » بخش ۷,/ferdousi/shahname/zahak/sh7,بخش ۷,فرهاد بشیریان,20658
1352,فردوسی » شاهنامه » ضحاک » بخش ۷,/ferdousi/shahname/zahak/sh7,بخش ۷,محمدیزدانی جوینده,21561
3143,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۱۹,/moulavi/shams/ghazalsh/sh519,غزل شمارهٔ ۵۱۹,عندلیب,13351
1370,فردوسی » شاهنامه » فریدون » بخش ۱۳,/ferdousi/shahname/fereydoon/sh13,بخش ۱۳,فرشید ربانی,16125
1370,فردوسی » شاهنامه » فریدون » بخش ۱۳,/ferdousi/shahname/fereydoon/sh13,بخش ۱۳,محمدیزدانی جوینده,21790
1370,فردوسی » شاهنامه » فریدون » بخش ۱۳,/ferdousi/shahname/fereydoon/sh13,بخش ۱۳,فرهاد بشیریان,22064
2918,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۲۹۴,/moulavi/shams/ghazalsh/sh294,غزل شمارهٔ ۲۹۴,پری ساتکنی عندلیب,11968
1336,فردوسی » شاهنامه » کیومرث » بخش ۲,/ferdousi/shahname/qmars/sh2,بخش ۲,فرید حامد,4730
1336,فردوسی » شاهنامه » کیومرث » بخش ۲,/ferdousi/shahname/qmars/sh2,بخش ۲,سهراب سیفی,13744
1336,فردوسی » شاهنامه » کیومرث » بخش ۲,/ferdousi/shahname/qmars/sh2,بخش ۲,فرشید ربانی,15494
1336,فردوسی » شاهنامه » کیومرث » بخش ۲,/ferdousi/shahname/qmars/sh2,بخش ۲,عندلیب,20124
1336,فردوسی » شاهنامه » کیومرث » بخش ۲,/ferdousi/shahname/qmars/sh2,بخش ۲,فرهاد بشیریان,20621
1336,فردوسی » شاهنامه » کیومرث » بخش ۲,/ferdousi/shahname/qmars/sh2,بخش ۲,محمدیزدانی جوینده,22029
1424,فردوسی » شاهنامه » پادشاهی گرشاسپ » بخش ۵,/ferdousi/shahname/garshasp/sh5,بخش ۵,عندلیب,22512
1281,خیام » رباعیات » رباعی شمارهٔ ۱۶۳,/khayyam/robaee/sh163,رباعی شمارهٔ ۱۶۳,زهرا بهمنی,16149
1281,خیام » رباعیات » رباعی شمارهٔ ۱۶۳,/khayyam/robaee/sh163,رباعی شمارهٔ ۱۶۳,داوود ملک زاده,1676
1281,خیام » رباعیات » رباعی شمارهٔ ۱۶۳,/khayyam/robaee/sh163,رباعی شمارهٔ ۱۶۳,نازنین بازیان,21531
1281,خیام » رباعیات » رباعی شمارهٔ ۱۶۳,/khayyam/robaee/sh163,رباعی شمارهٔ ۱۶۳,علی قلندری,24149
2924,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۰,/moulavi/shams/ghazalsh/sh300,غزل شمارهٔ ۳۰۰,زهرا بهمنی,4342
2924,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۰,/moulavi/shams/ghazalsh/sh300,غزل شمارهٔ ۳۰۰,پری ساتکنی عندلیب,11974
2924,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۰,/moulavi/shams/ghazalsh/sh300,غزل شمارهٔ ۳۰۰,نازنین بازیان,28704
3142,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۱۸,/moulavi/shams/ghazalsh/sh518,غزل شمارهٔ ۵۱۸,عندلیب,13350
1427,فردوسی » شاهنامه » کیقباد » بخش ۳,/ferdousi/shahname/kqobad/sh3,بخش ۳,عندلیب,22793
1372,فردوسی » شاهنامه » فریدون » بخش ۱۵,/ferdousi/shahname/fereydoon/sh15,بخش ۱۵,فرشید ربانی,16135
1372,فردوسی » شاهنامه » فریدون » بخش ۱۵,/ferdousi/shahname/fereydoon/sh15,بخش ۱۵,محمدیزدانی جوینده,21792
2760,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۱۳۶,/moulavi/shams/ghazalsh/sh136,غزل شمارهٔ ۱۳۶,پری ساتکنی عندلیب,9524
2760,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۱۳۶,/moulavi/shams/ghazalsh/sh136,غزل شمارهٔ ۱۳۶,آرش خیرآبادی,29207
2934,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۱۰,/moulavi/shams/ghazalsh/sh310,غزل شمارهٔ ۳۱۰,علیرضا بخشی زاده روشنفکر,2648
2934,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۱۰,/moulavi/shams/ghazalsh/sh310,غزل شمارهٔ ۳۱۰,پری ساتکنی عندلیب,12030
3155,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۳۱,/moulavi/shams/ghazalsh/sh531,غزل شمارهٔ ۵۳۱,عندلیب,13364
1128,خیام » رباعیات » رباعی شمارهٔ ۱۰,/khayyam/robaee/sh10,رباعی شمارهٔ ۱۰,احسان اسماعیلی,1309
1128,خیام » رباعیات » رباعی شمارهٔ ۱۰,/khayyam/robaee/sh10,رباعی شمارهٔ ۱۰,داوود ملک زاده,1412
1128,خیام » رباعیات » رباعی شمارهٔ ۱۰,/khayyam/robaee/sh10,رباعی شمارهٔ ۱۰,زهرا بهمنی,3925
